studnr_a,Cijfer,cohort,cohort_blok,vooropl_type,profiel,vooropl_profiel,w1_prac,w2_prac,w3_prac,w4_prac,w5_prac,w6_prac,w1_quiz,w2_quiz,w3_quiz,w4_quiz,w5_quiz,w6_quiz,w7_oefen_toets,Category_total,CorrectUnassigned,IncorrectUnassigned,W1_MMLAttemps,W1_MMLMastery,W2_MMLAttemps,W2_MMLMastery,W3_MMLAttemps,W3_MMLMastery,W4_MMLAttemps,W4_MMLMastery,W5_MMLAttemps,W5_MMLMastery,W6_MMLAttemps,W6_MMLMastery,W8_MMLAttemps,W8_MMLMastery,Course,complete,Hoursviewed
637525,10,1314,1314,2,1,21,0,0,0,0,0,0,8,7,8,5.33,6,0,0,5.28,225,25,36,100,95,100,146,100,20,100,99,100,101,100, , , , , 
637537,10,1314,1314,1,5,15,0,0,0,0,0,0,4,5.88,5,9,10,0,0,5.21,241,8,76,100,142,98,266,100,6,100,80,100,111,100, , , , , 
644908,10,1314,1314,1,2,12,0,0,0,0,0,0,8,1,8,0,0,0,0,2.62,250,0,36,100,122,100,249,100,20,100,159,100,89,100, , ,Java Essential Training,61.54,1.43
661257,10,14151,14151,1,5,15,1,1,1,1,1,1,10,7,8.5,9.5,0,7.69,0,0,225,0,30,100,94,100,80,100,74,100,51,100,117,100,11,100, , , 
661581,10,14152,14152,3,9,39,1,1,1,1,1,0,7.78,6,6,7,0,0,0,0,183,0,27,77.77777778,122,100,121,100,83,100,25,100,61,60,0,0, , , 
662222,10,1314,1314,1,5,15,0,0,0,0,0,0,0,3.75,6,1.67,4,0,0,2.37,248,0,53,100,155,100,249,100,18,100,130,100,184,100, , , , , 
662565,10,1314,1314,1,5,15,0,0,0,0,0,0,7,8,6,6,8,0,0,5.38,166,84,46,100,113,100,221,100,24,100,120,100,71,100, , , , , 
662573,10,1314,1314,1,5,15,0,0,0,0,0,0,4,4.63,6,5,0,0,0,3.02, , , , , , , , , , , , , , , , ,Up and Running with Java Applications,42.65,0.87
663031,10,1314,1314,1,4,14,0,0,0,0,0,0,10,0,0,0,0,0,0,1.54,200,49,52,100,119,100,190,100,8,100,79,100,50,100, , ,Java Essential Training,32.24,2.86
663142,10,1314,1314,1,6,16,0,0,0,0,0,0,8,8,9,0,0,60,0,13.08,231,19,35,100,100,100,165,100,9,100,79,100,101,100, , , , , 
663175,10,1314,1314,1,2,12,0,0,0,0,0,0,1,5.63,8,2.33,6,100,0,18.92,202,43,60,100,152,100,284,100,59,100,155,100,100,97, , ,Java Essential Training,2.09,0.3
665281,10,1314,1314,3,9,39,0,0,0,0,0,0,5,0,0,0,6,0,0,1.69,206,44,56,100,122,100,156,100,6,100,145,100,97,100, , , , , 
668197,10,1314,1314,1,2,12,0,0,0,0,0,0,6,5,8,5.33,9,0,0,5.13,220,0,44,100,180,100,283,100,83,100,44,100,83,100,5,100,Java Advanced Training,5.91,0.2
669382,10,1314,1314,1,4,14,0,0,0,0,0,0,9,5,10,0,0,0,0,3.69,8,237,47,92,137,100,214,100,15,100,83,100,142,100, , , , , 
670644,10,1314,1314,3,9,39,0,0,0,0,0,0,8,8,0,7,8,0,0,4.77,214,33,43,100,120,100,211,100,10,100,60,100,43,94, , ,Java Advanced Training,3.21,0.11
670792,10,1314, , , , ,0,0,0,0,0,0,7,6.88,7,5.67,6,0,0,5.01,211,39,50,100,130,100,185,100,16,100,172,100,52,100, , , , , 
672963,10,1314,1314,3,9,39,0,0,0,0,0,0,0,8.88,0,2.33,6,0,0,2.65, , , , , , , , , , , , , , , , , , , 
673802,10,1314,1314,1,5,15,0,0,0,0,0,0,8,0,9,4.33,5,0,0,4.05,250,0,48,100,115,100,322,100,17,100,142,100,79,100, , , , , 
675264,10,1314,1314,1,6,16,0,0,0,0,0,0,0,0,6,8,8,0,0,3.38,0,195,28,88,91,100,47,41,9,100,74,90,51,97, , , , , 
676083,10,1314,1314,2,2,22,0,0,0,0,0,0,5,6,7,5.23,7,0,0,4.65,249,1,31,100,98,100,270,100,20,100,139,100,207,100, , ,Java Essential Training,1.4,0.1
676582,10,1314,1314,1,2,12,0,0,0,0,0,0,5,5,6,7.33,0,0,0,3.59,138,107,38,100,115,100,292,100,15,100,102,90,70,100, , , , , 
678354,10,1314,1314,2,6,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,0,43,100,94,100,180,100,14,100,60,98,63,97, , , , , 
678523,10,1314,1314,3,2,32,0,0,0,0,0,0,6,2.75,8,5.9,5,0,0,4.25,250,0,46,100,117,100,189,100,17,100,116,100,95,100, , ,Java Essential Training,15.37,2.14
678650,10,1314,1314,1,5,15,0,0,0,0,0,0,4,8,6,2.33,4,0,0,3.74,219,31,60,100,105,100,242,100,21,100,121,100,99,100, , , , , 
679581,10,1314,1314,3,7,37,0,0,0,0,0,0,10,9,10,7.33,9,0,0,6.97,250,0,34,100,113,100,245,100,10,100,82,100,147,100, , , , , 
680444,10,1314,1314,1,5,15,0,0,0,0,0,0,7,4.25,7,5.67,0,0,0,3.68,0,249,46,100,90,98,97,100,6,100,49,100,36,100, , , , , 
681474,10,1314,1314,2,4,24,0,0,0,0,0,0,4,7.75,10,4.57,0,0,0,4.05,211,39,39,100,107,100,191,100,8,100,73,100,45,100, , ,Java Essential Training,2.6,0.18
681655,10,1314,1314,1,4,14,0,0,0,0,0,0,8,6,10,8.57,7,0,0,6.09, , , , , , , , , , , , , , , , , , , 
681717,10,1314,1314,1,2,12,0,0,0,0,0,0,8,5,8,3.67,8,0,0,5.03,241,1,26,88,116,100,219,100,14,100,87,90,89,100, , , , , 
681723,10,1314,1314,3,2,32,0,0,0,0,0,0,0,5,8,5.67,5,0,0,3.64,250,0,46,100,144,100,262,100,16,100,110,100,170,100, , , , , 
681726,10,1314,1314,3,3,33,0,0,0,0,0,0,9,9,10,7.67,8,0,0,6.72,250,0,33,100,101,100,182,100,8,100,89,100,115,100, , , , , 
681729,10,1314,1314,4,0,40,0,0,0,0,0,0,7,4,8,6,8,0,0,5.08,250,0,34,100,108,100,211,100,30,100,60,100,123,100, , ,Java Essential Training,14.37,1.02
681736,10,1314,1314,3,3,33,0,0,0,0,0,0,9,9.88,10,5.67,0,0,0,5.31,250,0,46,100,99,100,187,100,14,100,78,100,129,100, , , , , 
681892,10,1314,1314,3,3,33,0,0,0,0,0,0,3,10,9,5,0,0,0,4.15,250,0,52,100,105,100,121,100,6,100,54,100,36,100, , , , , 
681897,10,1314,1314,3,9,39,0,0,0,0,0,0,7,3,6,8,8,35,0,10.31,241,9,51,100,100,100,276,100,17,100,101,100,121,100, , , , , 
682504,10,1314,1314,1,5,15,0,0,0,0,0,0,4,5.75,8,0,6,100,0,19.04,142,108,46,100,116,100,155,100,19,100,128,100,82,100, , , , , 
682506,10,1314,1314,2,1,21,0,0,0,0,0,0,2,4,0,4.33,0,0,0,1.59,250,0,47,100,111,100,107,100,12,100,93,100,118,100, , , , , 
684182,10,1314,1314,1,2,12,0,0,0,0,0,0,8,5,8,8,7,0,0,5.54,250,0,43,100,156,100,375,100,64,100,169,100,160,100, , ,Java Essential Training,2.61,0.19
684281,10,1314,1314,1,2,12,0,0,0,0,0,0,7,4.88,6,2.33,7.9,0,0,4.32,250,0,46,100,167,100,151,100,35,100,227,100,169,100, , , , , 
684294,10,1314,1314,1,6,16,0,0,0,0,0,0,8,5,0,2,5,0,0,3.08, , , , , , , , , , , , , , , , , , , 
684813,10,1314,1314,3,3,33,0,0,0,0,0,0,8,8,9,4.33,5,0,0,5.28,247,0,33,88,77,100,141,100,17,100,86,100,68,100, , , , , 
685391,10,1314,1314,4,0,40,0,0,0,0,0,0,2,6,9,2.67,8,0,0,18.87,177,72,41,100,95,100,250,100,21,100,109,100,78,100, , , , , 
685584,10,1314,1314,1,6,16,0,0,0,0,0,0,5,8,7,3.67,7,0,0,4.72,202,48,36,100,109,100,305,100,20,100,191,100,116,100, , , , , 
685688,10,1314,1314,1,2,12, , , , , , , , , , , , , , ,247,2,53,100,136,100,411,100,52,100,150,100,177,100, , , , , 
685841,10,1314,1314,3,3,33,0,0,0,0,0,0,8,7,8,6.67,8,0,0,5.79,250,0,49,100,116,100,264,100,30,100,108,100,126,100, , , , , 
686597,10,1314,1314,3,3,33,0,0,0,0,0,0,2,4.75,6,2.23,1,0,0,2.46,223,26,54,100,163,100,286,100,23,100,148,100,102,97, , , , , 
686716,10,1314,1314,1,5,15,0,0,0,0,0,0,8,9,0,4.33,8,0,0,4.51,238,8,39,88,120,100,452,100,22,100,278,100,129,100, , , , , 
686737,10,1314,1314,1,2,12,0,0,0,0,0,0,4,6,0,4.9,6,0,0,3.22,223,16,46,88,117,100,166,99,15,100,89,100,63,89, , ,Java Essential Training,8.68,0.63
687178,10,1314,1314,2,5,25,0,0,0,0,0,0,4,3.38,7,3.9,8,0,0,4.04, , , , , , , , , , , , , , , , , , , 
687309,10,1314,1314,1,6,16,0,0,0,0,0,0,8,9,8,8.33,9,0,0,6.51,250,0,35,100,94,100,158,100,11,100,100,100,203,100, , , , , 
687673,10,1314,1314,1,6,16,0,0,0,0,0,0,6,8,6,6,6,0,0,4.92,250,0,38,100,136,100,252,100,27,100,149,100,154,100, , ,Java Essential Training,2.86,0.2
687726,10,1314,1314,2,5,25,0,0,0,0,0,0,8,6,10,4,9,0,0,5.69,117,130,48,100,130,100,163,100,8,100,54,100,39,97, , , , , 
688002,10,1314,1314,2,3,23,0,0,0,0,0,0,3,4.75,5,5,10,0,0,4.27,126,123,38,100,118,100,177,100,17,100,80,100,53,100, , , , , 
688093,10,14151,14151,3,3,33,1,1,1,1,1,1,6.67,4,4.71,6.5,0,3.21,0,0, , , , , , , , , , , , , , , , , , , 
688457,10,1314,1314,3,2,32,0,0,0,0,0,0,7,4,7,3.33,6,0,0,4.21, , , , , , , , , , , , , , , , , , , 
688541,10,1314,1314,1,5,15,0,0,0,0,0,0,7,3.75,7,2.33,4,0,0,3.71, , , , , , , , , , , , , , , , , , , 
688668,10,1314,1314,1,5,15,0,0,0,0,0,0,2,6.75,10,7.67,6,0,0,4.99,45,35,38,100,87,90,0,0,0,0,0,0,0,0, , , , , 
